"OCI control plane privileges matrix",,,,,,,,,,,,,§,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ryszard.styczynski@oracle.com, version 6 draft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The matrix uses following top level privileges:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,P,,,"- authority to make decision about resource configuration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
create,C,,,"- permission to create resource",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
use,U,,,"- permission to use the resource on control plane level. Does not cover TCP level exposed by the resource itself i.e. does not cover data plane permissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimise,O,,,"- permission to tune resource on control plane level. Does not cover software level tunnelables exposed by the resource itself i.e. does not cover data plane tunning permissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retire,R,,,"- remove from use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decommission,D,,,"- permission to decommission resource on a control plane level. Does not cover data plane permissions related to protecting data kept by software behind there resource",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inspect,I,,,"- permission to inspect state of the resource at control plane level. Does not cover access to business data handled by the resource.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manage,M,,,"- full permission to the resource and inner resources incl. delete. Should be used only by break glass roles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Team,"attach at","attach at",Tenancy,,,,,,,,Tenancy,"Tenancy / info","Tenancy / info","Tenancy / Access control",,,,"Tenancy / Access control",Governance,Governance,Network,,,,,,,Network,"Systems / Compute",,"Systems / Compute","Systems / Database",,,"Systems / Database",Storage,,,,Storage,"appgrp1 / Compute",,"appgrp1 / Compute","appgrp1:Systems / Compute",,"appgrp1:Systems / Compute","appgrp1:Systems / Database",,,"appgrp1:Systems / Database",appgrp1:Storage,,,,appgrp1:Storage,Monitoring,,,,,,Monitoring,Security,,,,,,,,,,,Security,"Meet-me-room / Interconnect",,"Meet-me-room / Interconnect","Meet-me-room / External connectivity",,"Meet-me-room / External connectivity","Meet-me-room / Public connectivity",,"Meet-me-room / Public connectivity"
,,"attach at",,Tenancy,Tenancy,Tenancy,Tenancy,Tenancy,Tenancy,Tenancy,Tenancy,,"Tenancy / info",,"Tenancy / Access control","Tenancy / Access control","Tenancy / Access control","Tenancy / Access control",,Governance,,Network,Network,Network,Network,Network,Network,Network,,"Systems / Compute","Systems / Compute",,"Systems / Database","Systems / Database","Systems / Database",,Storage,Storage,Storage,Storage,,"appgrp1 / Compute","appgrp1 / Compute",,"appgrp1:Systems / Compute","appgrp1:Systems / Compute",,"appgrp1:Systems / Database","appgrp1:Systems / Database","appgrp1:Systems / Database",,appgrp1:Storage,appgrp1:Storage,appgrp1:Storage,appgrp1:Storage,,Monitoring,Monitoring,Monitoring,Monitoring,Monitoring,Monitoring,,Security,Security,Security,Security,Security,Security,Security,Security,Security,Security,Security,,"Meet-me-room / Interconnect","Meet-me-room / Interconnect",,"Meet-me-room / External connectivity","Meet-me-room / External connectivity",,"Meet-me-room / Public connectivity","Meet-me-room / Public connectivity",
,,compartment,,"all resources","iam_identity / domain1",Quota,Budgets,"Cost Usage","Cloud Advisor","Cloud Guard","Cloud Shell",,"iam_tag_namespaces / tag_resource",,iam_data_hall,"iam_tag_namespaces / tag_cost-tracking","iam_tag_namespaces / tag_access_control",iam_access_policy,,"object storage",,"local network","local connectivity","local network security",routing,"load balancer",DNS,e-mail,,instance,kubernetes,,database,"autonomous database","exadata infrastructures",,volume,"volume backup","file system","object storage",,instance,kubernetes,,instance,kubernetes,,database,"autonomous database","exadata infrastructures",,volume,"volume backup","file system","object storage",,dashboards,monitoring,alarm,"log analytics",APM,notification,,vault,"certificate authority","security zone",bastion,"bastion session","Vulnerability Scanning","log group",audit,"object storage",events,notification,,"inter connectivity","inter connectivity security",,"external connectivity","external connectivity security",,"public connectivity","public connectivity security",
Governance,,,,P,P,P,P,P,P,P,,,P,,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- access_operator",,,,,O,,,,,,,,,,U,,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- cost_operator",,,,,,I,I,IU,IU,,,,I,,,I,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Governanace Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- access_admin",,,,,,,,,,,,,,,COR,,COR,COR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- cost_admin",,,,,,COR,COR,COR,COR,,,,COR,,,COR,,,,COR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- cost_data_integrator",,,,,,,,,,,,,,,,,,,,UI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
